STATE,Total_income
AK,27157.5
AL,15302
AR,5890.00005
AZ,68183
CA,80647.5
CO,28685.5
CT,43346.5
DC,118047.5
DE,59313.5
FL,77063
GA,25495.5
HI,72664.5
IA,5181.50005
ID,8572
IL,11514
IN,16658
KS,5428.00005
KY,6454.5
LA,17276
MA,46414
MD,33015
ME,7368.5
MI,21906
MN,10580.5
MO,7148
MS,11199
MT,5441
NC,26575
ND,2992.50005
NE,4346.00005
NH,16803.5
NJ,54192.5
NM,7459.5
NV,75137.5
NY,18416
OH,22208.5
OK,8329
OR,17262.5
PA,17485.5
RI,58497
SC,23753
SD,3768
TN,17901.5
TX,33205
UT,28220.5
VA,15044
VT,5756.5
WA,33542.5
WI,15398.00005
WV,3797.5001
WY,6632
