STATE,Total_income,Number_of_returns,AverageIncome
AK,53387284.0031,703650.0,75871.93
AL,264259466.0475,4202870.0,62875.96
AR,155502996.0567,2532640.0,61399.57
AZ,464193528.0129,6466830.0,71780.69
CA,3399586966.0586,36669060.0,92709.96
CO,491333234.023,5658500.0,86831.0
CT,368159694.0066,3543250.0,103904.52
DC,76414512.0004,693770.0,110143.87
DE,70671410.0022,960250.0,73596.89
FL,1632665120.0214,20859890.0,78268.16
GA,658718362.0401,9364310.0,70343.5
HI,100663320.0008,1401210.0,71840.28
IA,202980278.0977,2934740.0,69164.65
ID,111143430.0212,1617430.0,68716.07
IL,992363840.1229,12197230.0,81359.77
IN,408032496.044,6357440.0,64181.89
KS,192996114.065,2695990.0,71586.36
KY,235911902.0717,3874720.0,60884.89
LA,254009784.0382,4031640.0,63004.08
MA,711218448.0113,6898300.0,103100.54
MD,516527414.0264,6022140.0,85771.41
ME,88122632.034,1336280.0,65946.23
MI,652134304.0533,9569980.0,68143.75
MN,453679510.0629,5619260.0,80736.52
MO,380618038.0924,5655080.0,67305.51
MS,135145028.0331,2521990.0,53586.66
MT,69798958.0283,1036050.0,67370.26
NC,655796922.0368,9463800.0,69295.31
ND,57622025.0481,730560.0,78873.77
NE,129916330.0546,1834680.0,70811.44
NH,122249848.013,1431580.0,85395.05
NJ,856468150.0138,8919540.0,96021.56
NM,112866906.0229,1888200.0,59774.87
NV,223395046.0061,3027590.0,73786.43
NY,1773392122.1021,19277180.0,91994.37
OH,753229104.0527,11393290.0,66111.64
OK,215009002.0602,3345330.0,64271.39
OR,298757696.0275,4020360.0,74311.18
PA,939560154.1002,12564020.0,74781.81
RI,79793104.0023,1090600.0,73164.41
SC,303096590.0237,4650610.0,65173.51
SD,59383710.0331,853920.0,69542.47
TN,421087076.0397,6209510.0,67813.25
TX,2009629290.0952,26243900.0,76575.1
UT,214266890.0151,2825190.0,75841.59
VA,688599126.0676,8030500.0,85747.98
VT,45741752.0252,651950.0,70161.44
WA,705256566.0318,7410480.0,95170.16
WI,411484512.0426,5751130.0,71548.46
WV,87025332.0769,1540920.0,56476.22
WY,48421544.0137,550280.0,87994.37
